source,target,weight,id
"ANTONY, PAUL ANDREW","DOHENY, KIMBERLY",1,1
"ANTONY, PAUL ANDREW","HORNYAK, THOMAS J",1,2
"ASHE, WARREN K.","DUNSTON, GEORGIA M",1,3
"ASHE, WARREN K.","HALDER, REBAT M",1,3
"DUNSTON, GEORGIA M","HALDER, REBAT M",1,3
"BAGNARA, JOSEPH T","HASTINGS, KAREN TARASZKA",1,4
"BOISSY, RAYMOND E","HALABAN, RUTH",1,5
"BOISSY, RAYMOND E","LERNER, AARON B",1,5
"HALABAN, RUTH","LERNER, AARON B",1,5
"BOTTINI, NUNZIO","RODGERS, MARY",1,6
"BYSTRYN, JEAN-CLAUDE","HORNYAK, THOMAS J",1,7
"BYSTRYN, JEAN-CLAUDE","ITO, MAYUMI",1,7
"BYSTRYN, JEAN-CLAUDE","MANGA, PRASHIELA",1,7
"BYSTRYN, JEAN-CLAUDE","ORLOW, SETH J.",1,7
"HORNYAK, THOMAS J","ITO, MAYUMI",1,7
"HORNYAK, THOMAS J","MANGA, PRASHIELA",1,7
"HORNYAK, THOMAS J","ORLOW, SETH J.",1,7
"ITO, MAYUMI","MANGA, PRASHIELA",1,7
"ITO, MAYUMI","ORLOW, SETH J.",1,7
"MANGA, PRASHIELA","ORLOW, SETH J.",1,7
"ENGELHARD, VICTOR H","GREGG, RANDAL",1,8
"KING, RICHARD A","WITKOP, CARL J.",1,9
"LO, JENNIFER A","MATHIS, DIANE J",1,10
"LO, JENNIFER A","PATHAK, MADHUKAR A",1,10
"LO, JENNIFER A","SIDMAN, RICHARD L",1,10
"LO, JENNIFER A","SZABO, GEORGE",1,10
"MATHIS, DIANE J","PATHAK, MADHUKAR A",1,10
"MATHIS, DIANE J","SIDMAN, RICHARD L",1,10
"MATHIS, DIANE J","SZABO, GEORGE",1,10
"PATHAK, MADHUKAR A","SIDMAN, RICHARD L",1,10
"PATHAK, MADHUKAR A","SZABO, GEORGE",1,10
"SIDMAN, RICHARD L","SZABO, GEORGE",1,10
"MACLAREN, NOEL K","MCCORMACK, WAYNE T.",1,11
"MORELLI, JOSEPH G","NORRIS, DAVID A.",1,12
"MORELLI, JOSEPH G","SPRITZ, RICHARD A",1,12
"MORELLI, JOSEPH G","TERZIAN, TAMARA G",1,12
"NORRIS, DAVID A.","SPRITZ, RICHARD A",1,12
"NORRIS, DAVID A.","TERZIAN, TAMARA G",1,12
"SPRITZ, RICHARD A","TERZIAN, TAMARA G",1,12