name,publications
"ANTEBI, ADAM",1
"ANTONY, PAUL ANDREW",1
"ASHE, WARREN K.",1
"BAGNARA, JOSEPH T",1
"BARSH, GREGORY STEFAN",1
"BOISSY, RAYMOND E",5
"BOTTINI, NUNZIO",2
"BOWERS, ROGER R",4
"BRILLIANT, MURRAY H",1
"BYSTRYN, JEAN-CLAUDE",1
"CHAKRAVARTI, ARAVINDA",1
"COLLIER, ANNIE",1
"CRAFT, NOAH A",2
"DOHENY, KIMBERLY",1
"DRAGER, URSULA CHARLOTTE",1
"DUNSTON, GEORGIA M",1
"ENGELHARD, VICTOR H",2
"ERF, GISELA F",2
"GANESAN, ANAND K",1
"GREGG, RANDAL",1
"HALABAN, RUTH",1
"HALDER, REBAT M",2
"HALLICK, LESLEY M",1
"HANEIN, DORIT",1
"HARRIS, JOHN E",2
"HARVEY, VALERIE M",1
"HASTINGS, KAREN TARASZKA",1
"HORNYAK, THOMAS J",2
"ITO, MAYUMI",2
"JORGENSEN, TRINE NORGAARD",1
"KING, RICHARD A",2
"KLAUSNER, MITCHELL",1
"LASKIN, JEFFREY D",1
"LE POOLE, ISABELLE CAROLINE",7
"LEACHMAN, SANCY ANN",1
"LERNER, AARON B",5
"LERNER, ETHAN A",1
"LEYDA, JAMES P",1
"LO, JENNIFER A",1
"MACLAREN, NOEL K",1
"MANGA, PRASHIELA",1
"MATHIS, DIANE J",1
"MCCORMACK, WAYNE T.",3
"MORELLI, JOSEPH G",3
"NATH, SWAPAN K",1
"NORRIS, DAVID A.",5
"ORLOW, SETH J.",4
"PANDYA, AMIT G",3
"PARICHY, DAVID M",1
"PATHAK, MADHUKAR A",1
"REED, JOHN C",1
"RODGERS, MARY",1
"SALZMAN, ANDREW LURIE",1
"SETALURI, VIJAYASARADHI",2
"SHAROV, ANDREY",1
"SHE, JIN-XIONG",1
"SIDMAN, RICHARD L",2
"SLOMINSKI, ANDRZEJ T",2
"SMART, JOSEPH A.",1
"SPRITZ, RICHARD A",9
"STANLEY, JOHN R",1
"SZABO, GEORGE",1
"TERZIAN, TAMARA G",1
"TURK, MARY J",1
"WHITE, RICHARD MARK",1
"WITKOP, CARL J.",1